
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-05-15;31.226,71;3371092603750;32.753,26;2991903752841;32.678,10;4446786887767;31.220,04;1072401273091;31.555,22;525057296984;31.148,58;4400687090880
2016-05-16;31.275,21;3371974309988;32.810,40;2994191085852;32.732,11;4449645668343;31.283,85;1078150146363;31.609,61;526189302988;31.200,62;4401477099611
2016-05-17;31.412,55;3388370160515;32.965,16;3008794685661;32.893,01;4472624702118;31.438,61;1087000354039;31.764,96;530454538460;31.345,61;4425701095166
2016-05-18;31.394,94;3383671206020;32.949,42;3005975967269;32.880,77;4469741754727;31.410,44;1085975149784;31.741,78;531623152987;31.324,87;4422135375608
2016-05-19;31.270,66;3368923990416;32.829,04;2992544781442;32.748,59;4450279541237;31.291,35;1081876193289;31.635,56;529913215740;31.205,56;4404853754622
2016-05-20;31.252,05;3365161007783;32.817,73;2990178867632;32.738,44;4447175193429;31.282,57;1081642758503;31.613,47;529389388842;31.197,02;4401963786034
2016-05-21;31.252,05;3365161007783;32.817,73;2990178867632;32.738,44;4447175193429;31.282,57;1081642758503;31.613,47;529389388842;31.197,02;4401963786034
2016-05-22;31.252,05;3365161007783;32.817,73;2990178867632;32.738,44;4447175193429;31.282,57;1081642758503;31.613,47;529389388842;31.197,02;4401963786034
2016-05-23;31.239,75;3361627950957;32.798,49;2985612102823;32.721,90;4443298440356;31.266,79;1081057548130;31.591,97;529122587838;31.169,04;4396538863633
2016-05-24;31.264,84;3362533079262;32.826,36;2986541253378;32.749,32;4446845090059;31.290,87;1081869056732;31.615,97;529850635666;31.199,41;4399468668990
2016-05-25;31.341,18;3369621597932;32.911,87;2993911898698;32.830,35;4456645010440;31.387,71;1085417791936;31.711,40;531409400358;31.285,32;4411007334421
2016-05-26;31.490,96;3385284780306;33.073,66;3007189644046;32.994,36;4476625472820;31.535,76;1090513976190;31.865,80;534048792392;31.434,64;4432126568029
2016-05-27;31.418,61;3376829423071;32.995,40;3000637225647;32.916,02;4464262685649;31.471,71;1088270768345;31.795,08;532952830944;31.365,75;4422447342953
2016-05-28;31.418,61;3376829423071;32.995,40;3000637225647;32.916,02;4464262685649;31.471,71;1088270768345;31.795,08;532952830944;31.365,75;4422447342953
2016-05-29;31.418,61;3376829423071;32.995,40;3000637225647;32.916,02;4464262685649;31.471,71;1088270768345;31.795,08;532952830944;31.365,75;4422447342953
2016-05-30;31.496,54;3384394876158;33.084,72;3007409363553;33.002,86;4475455318963;31.550,40;1091006792352;31.876,21;534232687216;31.441,52;4432913083829
2016-05-31;31.579,34;3390178814512;33.169,06;3017186018608;33.095,17;4478432843341;31.648,61;1094534589890;31.961,66;535200913497;31.525,88;4430229927993
