
Fecha;ALAMEDA;;CONCORDIA;;CUPRUM;;EL LIBERTADOR;;HABITAT;;INVIERTA;;PLANVITAL;;PROVIDA;;SAN CRISTOBAL;;SANTA MARIA;;SUMMA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
1981-09-15;112,40;86055810;113,20;15226500;108,96;60278768;110,03;42196207;107,90;436695057;112,52;181126527;200,00;0;110,54;122462715;110,48;1439512372;109,21;367313772;108,41;1128882053;110,12;181882416
1981-09-16;112,48;86119812;113,34;15244550;109,09;60346425;110,17;42250009;108,00;436984517;112,74;181480667;200,00;0;110,66;123062549;110,59;1441964934;109,32;367998998;108,51;1129976983;110,25;183632744
1981-09-17;112,65;86249470;113,65;15290967;109,37;60500758;110,41;42344154;108,13;437402219;113,05;181979683;200,00;0;110,78;123201002;110,71;1443552029;109,47;368499724;108,63;1131236306;110,44;183952802
1981-09-18;112,65;86249470;113,65;15290967;109,37;60500758;110,41;42344154;108,13;437402219;113,05;181979683;200,00;0;110,78;123201002;110,71;1443552029;109,47;368499724;108,63;1131236306;110,44;183952802
1981-09-19;112,65;86249470;113,65;15290967;109,37;60500758;110,41;42344154;108,13;437402219;113,05;181979683;200,00;0;110,78;123201002;110,71;1443552029;109,47;368499724;108,63;1131236306;110,44;183952802
1981-09-20;112,65;86249470;113,65;15290967;109,37;60500758;110,41;42344154;108,13;437402219;113,05;181979683;200,00;0;110,78;123201002;110,71;1443552029;109,47;368499724;108,63;1131236306;110,44;183952802
1981-09-21;112,93;118145152;114,13;22667247;109,70;85420785;110,76;62068833;108,44;601607246;113,42;241361139;200,00;0;111,24;157620488;111,05;2039713335;109,86;498603945;108,95;1483847345;110,73;261552609
1981-09-22;113,00;118213329;114,21;22683738;109,78;85482854;111,05;62231205;108,51;603849758;113,51;241558219;200,00;0;111,34;157758541;111,14;2041376683;109,94;498971559;109,02;1484880947;110,79;261694940
1981-09-23;113,06;118283053;114,30;22701518;109,87;85554929;111,17;62312104;108,59;603849758;113,67;241898712;200,00;0;111,44;157896877;111,22;2043593219;110,04;499494702;109,11;1486044181;110,88;261903530
1981-09-24;113,15;118375990;114,39;23056409;109,89;85573493;111,26;62365225;108,67;604621957;113,69;241998785;200,00;0;111,54;158036689;111,31;2045162599;110,14;499936979;109,19;1487104075;110,95;262060916
1981-09-25;113,23;118454216;114,54;23136909;109,96;85626684;111,34;62407531;108,74;605066158;113,80;242175362;200,00;0;111,64;158178672;111,48;2048255158;110,27;500528010;109,28;1488265964;111,01;262201843
1981-09-26;113,23;118454216;114,54;23136909;109,96;85626684;111,34;62407531;108,74;605066158;113,80;242175362;200,00;0;111,64;158178672;111,48;2048255158;110,27;500528010;109,28;1488265964;111,01;262201843
1981-09-27;113,23;118454216;114,54;23136909;109,96;85626684;111,34;62407531;108,74;605066158;113,80;242175362;200,00;0;111,64;158178672;111,48;2048255158;110,27;500528010;109,28;1488265964;111,01;262201843
1981-09-28;114,11;119373945;114,79;23188169;110,15;85772223;111,53;62515764;108,96;606304309;113,95;242494574;200,00;0;111,94;158610511;111,74;2053008335;110,50;501574559;109,50;1491228243;111,21;262697840
1981-09-29;114,24;119515503;114,87;23203861;110,25;85846099;111,66;62586257;109,04;607186790;113,96;242515854;200,00;0;112,04;158754218;111,96;2057033562;110,73;502647330;109,58;1492414847;111,31;262920634
1981-09-30;114,18;130992316;114,96;23335534;110,36;86114835;111,71;64422704;109,10;614522686;113,95;266408764;200,00;0;112,14;172582704;112,05;2059989084;110,81;528700330;109,62;1587830364;111,36;258888827
1981-10-01;114,24;131062316;115,03;23161790;110,45;86189223;111,98;64579973;109,17;614891774;114,27;267156907;200,00;0;112,33;172875113;112,13;2061585814;110,89;529070494;109,69;1589214653;111,46;259109271
1981-10-02;114,32;131154140;115,10;23175277;110,54;86254968;112,09;64643655;109,24;615307766;114,42;267507598;200,00;0;112,32;172859723;112,22;2065738433;110,96;529435188;109,76;1590567555;111,56;259348372
1981-10-03;114,32;131154140;115,10;23175277;110,54;86254968;112,09;64643655;109,24;615307766;114,42;267507598;200,00;0;112,32;172859723;112,22;2065738433;110,96;529435188;109,76;1590567555;111,56;259348372
