
Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2007-06-21;18.771,35;64523010091;18.690,78;131998817712;16.271,12;190493867508;30.706,15;21800043701;17.511,57;211329975470;17.251,73;71229733417
2007-06-22;18.769,09;64655404848;18.694,87;131918526974;16.286,90;190623735869;30.704,70;21800869454;17.514,19;211276124025;17.257,49;71302844458
2007-06-23;18.769,09;64655404848;18.694,87;131918526974;16.286,90;190623735869;30.704,70;21800869454;17.514,19;211276124025;17.257,49;71302844458
2007-06-24;18.769,09;64655404848;18.694,87;131918526974;16.286,90;190623735869;30.704,70;21800869454;17.514,19;211276124025;17.257,49;71302844458
2007-06-25;18.786,34;64409261392;18.707,30;131601161746;16.311,97;190418639812;30.748,21;21845979754;17.530,50;217794151164;17.272,34;71095658764
2007-06-26;18.795,94;64311287087;18.717,07;130253563983;16.316,50;190002953661;30.748,52;21810822468;17.540,05;217325575442;17.271,43;71126305861
2007-06-27;18.807,37;66824150153;18.727,11;130396781072;16.317,12;190042591032;30.751,44;21817499531;17.547,30;217072848383;17.280,05;71179885639
2007-06-28;18.818,30;66349759719;18.735,40;130522692873;16.324,14;189466726692;30.768,62;21792990564;17.561,33;218165771813;17.292,40;71242693787
2007-06-29;18.827,84;66353647127;18.748,94;130624223548;16.357,69;189792058808;30.797,41;21814891038;17.581,37;220677958481;17.299,10;71275668002
2007-06-30;18.827,84;66353647127;18.748,94;130624223548;16.357,69;189792058808;30.797,41;21814891038;17.581,37;220677958481;17.299,10;71275668002
2007-07-01;18.827,84;66353647127;18.748,94;130624223548;16.357,69;189792058808;30.797,41;21814891038;17.581,37;220677958481;17.299,10;71275668002
2007-07-02;18.827,84;66353647127;18.748,94;130624223548;16.357,69;189792058808;30.797,41;21814891038;17.581,37;220677958481;17.299,10;71275668002
2007-07-03;18.842,85;66327103080;18.767,06;130581471306;16.367,61;189614554733;30.814,62;21789702520;17.600,41;217994022054;17.312,08;70964372423
2007-07-04;18.879,07;65921311401;18.798,47;130349266274;16.391,32;189524436333;30.891,52;21735468576;17.632,63;214843226957;17.343,30;71101289114
2007-07-05;18.883,68;66746957574;18.799,28;129994309717;16.395,68;189103549022;30.908,11;21558676033;17.628,64;211592989967;17.351,60;71100441680
2007-07-06;18.882,94;66782944138;18.801,00;129708786739;16.398,08;189055607302;30.906,19;21555907126;17.630,48;209606395782;17.358,98;71093591880
2007-07-07;18.882,94;66782944138;18.801,00;129708786739;16.398,08;189055607302;30.906,19;21555907126;17.630,48;209606395782;17.358,98;71093591880
2007-07-08;18.882,94;66782944138;18.801,00;129708786739;16.398,08;189055607302;30.906,19;21555907126;17.630,48;209606395782;17.358,98;71093591880
2007-07-09;18.902,66;66297262191;18.809,89;129434066766;16.428,97;188604438130;30.924,65;21568734269;17.648,98;209350234725;17.375,75;71010114652
2007-07-10;18.912,01;66322369459;18.819,47;129287549803;16.439,07;188636198752;30.940,04;21472900221;17.657,62;213526395502;17.385,96;70940355529
2007-07-11;18.923,95;66358864402;18.820,88;128220346157;16.446,14;188735594450;30.925,37;21395630206;17.668,94;213738751217;17.399,38;71008950077
2007-07-12;18.935,45;66353874912;18.832,77;128210698313;16.451,02;188225150858;30.969,27;21426001837;17.676,80;213281069279;17.405,80;71029874149
2007-07-13;18.942,46;66496784426;18.838,56;127767066049;16.457,62;188281021986;30.959,38;21421047664;17.681,47;217725922437;17.412,53;71075083143
2007-07-14;18.942,46;66496784426;18.838,56;127767066049;16.457,62;188281021986;30.959,38;21421047664;17.681,47;217725922437;17.412,53;71075083143
2007-07-15;18.942,46;66496784426;18.838,56;127767066049;16.457,62;188281021986;30.959,38;21421047664;17.681,47;217725922437;17.412,53;71075083143
2007-07-16;18.942,46;66496784426;18.838,56;127767066049;16.457,62;188281021986;30.959,38;21421047664;17.681,47;217725922437;17.412,53;71075083143
2007-07-17;18.997,98;66748759857;18.888,10;127638021067;16.505,91;188702079632;31.029,07;21341102418;17.725,65;220006978711;17.446,54;70808907812
2007-07-18;19.030,25;66828456737;18.901,88;127629646479;16.513,61;188094153711;31.054,69;21265461039;17.745,88;216036482683;17.476,33;70982702035
2007-07-19;19.056,09;67039527581;18.924,62;127786892152;16.519,67;187943505529;31.091,50;21314358575;17.767,76;211735439685;17.495,52;71054823289
2007-07-20;19.069,48;67057374672;18.937,72;127405263465;16.530,31;188027826838;31.104,81;21354765110;17.783,02;211567599755;17.511,38;71237936558
2007-07-21;19.069,48;67057374672;18.937,72;127405263465;16.530,31;188027826838;31.104,81;21354765110;17.783,02;211567599755;17.511,38;71237936558
2007-07-22;19.069,48;67057374672;18.937,72;127405263465;16.530,31;188027826838;31.104,81;21354765110;17.783,02;211567599755;17.511,38;71237936558
2007-07-23;19.114,00;67272892923;18.965,46;127319185415;16.548,14;188114997624;31.151,98;21342277727;17.813,23;211888357457;17.537,15;70994165875
2007-07-24;19.122,24;67408833198;18.972,78;127132410410;16.553,62;187839518276;31.158,53;21346551471;17.819,59;213334878026;17.547,72;70976030804
2007-07-25;19.118,62;67358922639;18.978,12;126126966005;16.558,81;187996256167;31.163,33;21358002014;17.818,86;211444817895;17.551,69;71001789379
2007-07-26;19.118,14;67148194867;18.998,88;125196003718;16.561,48;187079053354;31.188,63;21219096420;17.822,58;211208478405;17.554,34;71018049584
2007-07-27;19.126,62;67263894357;18.998,62;125241441974;16.565,69;187216304775;31.197,99;21228702409;17.826,91;211024372349;17.560,04;71043586833
2007-07-28;19.126,62;67263894357;18.998,62;125241441974;16.565,69;187216304775;31.197,99;21228702409;17.826,91;211024372349;17.560,04;71043586833
2007-07-29;19.126,62;67263894357;18.998,62;125241441974;16.565,69;187216304775;31.197,99;21228702409;17.826,91;211024372349;17.560,04;71043586833
2007-07-30;19.137,57;67283134670;19.016,21;125378872734;16.583,61;187216059129;31.211,27;20991961475;17.840,12;210687271322;17.570,38;70427988994
2007-07-31;19.156,87;67264742935;19.039,15;125502210388;16.606,93;187488723513;31.235,79;20996651024;17.861,14;210956334435;17.586,60;70496626004
2007-08-01;19.156,69;67253631032;19.045,35;125489283211;16.607,56;187062896724;31.228,41;20987592009;17.855,20;213838688621;17.581,76;70296145098
2007-08-02;19.189,28;67744988066;19.072,56;125377558621;16.641,48;187194130280;31.306,17;20797408359;17.883,97;215551313760;17.615,22;70407521305
2007-08-03;19.185,54;67948373652;19.075,67;124938217042;16.649,52;187293225710;31.313,53;20680413547;17.887,27;214981597710;17.622,31;70433139376
2007-08-04;19.185,54;67948373652;19.075,67;124938217042;16.649,52;187293225710;31.313,53;20680413547;17.887,27;214981597710;17.622,31;70433139376
2007-08-05;19.185,54;67948373652;19.075,67;124938217042;16.649,52;187293225710;31.313,53;20680413547;17.887,27;214981597710;17.622,31;70433139376
2007-08-06;19.202,01;68193631158;19.088,89;125026840160;16.655,14;187404061268;31.335,51;20694834587;17.894,78;215328569397;17.630,47;70265318067
2007-08-07;19.188,62;68106984579;19.080,91;124948792555;16.651,86;186558340163;31.320,47;20684898822;17.883,94;212513588316;17.617,73;70057751293
2007-08-08;19.190,34;68028330484;19.078,69;124802939015;16.648,94;186466148013;31.330,43;20538344982;17.887,50;212126019699;17.619,07;70063729433
2007-08-09;19.180,42;67922518662;19.080,89;124504444869;16.653,95;186235943260;31.311,25;20525698867;17.881,51;212400223710;17.613,72;70041263997
2007-08-10;19.181,58;68004597317;19.075,91;124394871614;16.662,80;186318002790;31.300,95;20517111132;17.883,30;211679502311;17.613,06;69800558576
2007-08-11;19.181,58;68004597317;19.075,91;124394871614;16.662,80;186318002790;31.300,95;20517111132;17.883,30;211679502311;17.613,06;69800558576
2007-08-12;19.181,58;68004597317;19.075,91;124394871614;16.662,80;186318002790;31.300,95;20517111132;17.883,30;211679502311;17.613,06;69800558576
2007-08-13;19.190,18;68132178719;19.098,19;124334086523;16.677,94;186341607061;31.321,71;20482157751;17.898,09;214324161491;17.625,42;69531622402
2007-08-14;19.211,18;68783250248;19.112,37;124325210330;16.685,98;186676451071;31.347,29;20499976775;17.910,87;212959595210;17.637,09;69601292265
2007-08-15;19.211,18;68783250248;19.112,37;124325210330;16.685,98;186676451071;31.347,29;20499976775;17.910,87;212959595210;17.637,09;69601292265
2007-08-16;19.219,38;68498627706;19.121,37;124044484364;16.658,70;186204368237;31.345,23;20441386112;17.901,09;213671031791;17.633,01;69384853707
2007-08-17;19.245,90;68637859389;19.134,97;123975373371;16.661,30;186267384256;31.374,21;20450484654;17.913,68;215175602482;17.644,71;69457623155
2007-08-18;19.245,90;68637859389;19.134,97;123975373371;16.661,30;186267384256;31.374,21;20450484654;17.913,68;215175602482;17.644,71;69457623155
2007-08-19;19.245,90;68637859389;19.134,97;123975373371;16.661,30;186267384256;31.374,21;20450484654;17.913,68;215175602482;17.644,71;69457623155
2007-08-20;19.271,32;68876996549;19.162,14;125307458561;16.676,95;187997270788;31.412,76;20484389746;17.938,18;216930179598;17.673,44;69607142586
2007-08-21;19.292,51;69431944327;19.174,83;127022470194;16.683,21;190343240898;31.433,72;20499579739;17.953,63;219742937739;17.686,38;69710784552
2007-08-22;19.325,67;70514239712;19.206,85;127586860453;16.691,88;190434695449;31.482,88;20519071464;17.977,36;225089861129;17.709,72;70052615242
2007-08-23;19.321,77;73483013730;19.215,25;129948327093;16.697,69;199517428936;31.498,30;20537386026;17.979,04;226380450798;17.715,29;70092228372
2007-08-24;19.321,60;75188226823;19.214,51;139678530492;16.703,86;199614680178;31.492,63;20539065741;17.981,16;227669422995;17.719,87;70115621317
2007-08-25;19.321,60;75188226823;19.214,51;139678530492;16.703,86;199614680178;31.492,63;20539065741;17.981,16;227669422995;17.719,87;70115621317
2007-08-26;19.321,60;75188226823;19.214,51;139678530492;16.703,86;199614680178;31.492,63;20539065741;17.981,16;227669422995;17.719,87;70115621317
2007-08-27;19.334,31;75355851475;19.236,78;142844126582;16.726,83;204212576079;31.513,60;21112326879;17.999,49;226493077712;17.737,51;74590927129
2007-08-28;19.342,83;75497219326;19.243,65;143173435853;16.733,81;206814200744;31.521,45;21121160759;18.008,82;223075358139;17.744,52;74608378426
