
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-05-09;32.523,46;7596202601286;38.201,09;7367078729322;37.014,08;10546862487148;36.200,79;569775795719;66.253,94;1270820866361;32.492,42;12296486157799
2016-05-10;32.591,63;7605510692218;38.286,05;7366717674466;37.095,63;10553329036116;36.279,51;570026038485;66.412,78;1273404595287;32.565,03;12319364861262
2016-05-11;32.784,56;7651615869850;38.516,70;7409083318211;37.323,33;10616629754682;36.523,29;573878333170;66.823,05;1281504783159;32.763,61;12396602270559
2016-05-12;32.813,38;7657952243875;38.546,71;7410908683744;37.351,88;10624068922597;36.557,69;576613741956;66.846,76;1282480555264;32.769,23;12405672264972
2016-05-13;32.874,25;7677089294062;38.610,94;7423541183751;37.427,36;10653778311242;36.622,43;578248365304;66.989,01;1287047438485;32.838,17;12438558165018
2016-05-14;32.874,25;7677089294062;38.610,94;7423541183751;37.427,36;10653778311242;36.622,43;578248365304;66.989,01;1287047438485;32.838,17;12438558165018
2016-05-15;32.874,25;7677089294062;38.610,94;7423541183751;37.427,36;10653778311242;36.622,43;578248365304;66.989,01;1287047438485;32.838,17;12438558165018
2016-05-16;32.938,15;7694421063578;38.682,56;7441403161509;37.489,46;10684649737049;36.710,09;586654246510;67.108,46;1286842478965;32.899,25;12463431759224
2016-05-17;33.028,21;7717241955281;38.796,16;7464137376611;37.607,02;10720246794314;36.827,58;588646884050;67.307,66;1291429207156;32.991,70;12504971682880
2016-05-18;33.014,19;7713427492236;38.787,62;7460002613421;37.610,77;10721029011419;36.806,09;588309535717;67.279,24;1294424790711;32.972,13;12497369212090
2016-05-19;32.903,09;7687907267507;38.665,17;7436413005799;37.485,85;10682309554879;36.691,69;586339709675;67.087,01;1290655428726;32.864,80;12454421423675
2016-05-20;32.881,41;7681348001252;38.642,34;7429690637025;37.462,97;10678566586810;36.683,04;586152540541;67.021,21;1289487038294;32.849,71;12447469659991
2016-05-21;32.881,41;7681348001252;38.642,34;7429690637025;37.462,97;10678566586810;36.683,04;586152540541;67.021,21;1289487038294;32.849,71;12447469659991
2016-05-22;32.881,41;7681348001252;38.642,34;7429690637025;37.462,97;10678566586810;36.683,04;586152540541;67.021,21;1289487038294;32.849,71;12447469659991
2016-05-23;32.866,40;7679162562095;38.618,95;7423935916854;37.437,34;10672339598310;36.661,82;585421725974;66.985,49;1289055940440;32.817,99;12436832135132
2016-05-24;32.894,54;7684805825628;38.655,68;7430691350572;37.471,32;10679419637481;36.693,99;585637834992;67.038,10;1289574812947;32.856,64;12450517520376
2016-05-25;32.927,68;7692698701991;38.695,32;7437073061082;37.506,75;10685483149292;36.757,04;585958656370;67.154,14;1291590789869;32.906,99;12469556401007
2016-05-26;33.028,40;7715255269138;38.821,65;7457661627729;37.630,44;10717814085025;36.862,29;587572477727;67.367,59;1295439944970;33.006,37;12507102456118
2016-05-27;32.969,02;7701476083620;38.748,07;7441814220761;37.562,83;10701825017345;36.808,09;586516517659;67.265,42;1293492617368;32.952,77;12487221617905
2016-05-28;32.969,02;7701476083620;38.748,07;7441814220761;37.562,83;10701825017345;36.808,09;586516517659;67.265,42;1293492617368;32.952,77;12487221617905
2016-05-29;32.969,02;7701476083620;38.748,07;7441814220761;37.562,83;10701825017345;36.808,09;586516517659;67.265,42;1293492617368;32.952,77;12487221617905
2016-05-30;33.015,53;7711282380468;38.814,31;7455312123315;37.627,60;10717729878979;36.856,09;587212817180;67.360,04;1295275379198;32.998,02;12503151041982
2016-05-31;33.086,38;7708988230767;38.888,77;7460198116285;37.714,90;10729941231238;36.952,69;588900914580;67.510,21;1294962310535;33.071,96;12506551321924
2016-06-01;33.044,40;7688841224394;38.849,64;7456339258167;37.673,39;10727766057061;36.908,36;596326695877;67.428,71;1289794741566;33.013,27;12476996182275
2016-06-02;33.122,91;7706707477735;38.944,39;7476902332800;37.771,62;10754607125089;37.008,37;598647351895;67.593,29;1295835981372;33.120,22;12516046866560
2016-06-03;33.095,91;7700430379888;38.913,48;7467293636707;37.737,51;10745599420632;36.964,43;598026594189;67.535,83;1294808052804;33.093,88;12505315307267
2016-06-04;33.095,91;7700430379888;38.913,48;7467293636707;37.737,51;10745599420632;36.964,43;598026594189;67.535,83;1294808052804;33.093,88;12505315307267
2016-06-05;33.095,91;7700430379888;38.913,48;7467293636707;37.737,51;10745599420632;36.964,43;598026594189;67.535,83;1294808052804;33.093,88;12505315307267
2016-06-06;33.025,24;7682766373284;38.840,16;7454465019166;37.665,72;10723182041177;36.897,03;596684540342;67.400,59;1292342453004;33.010,45;12473310397737
2016-06-07;33.023,84;7681425166901;38.856,91;7458535803042;37.694,48;10731084424632;36.927,32;597140821660;67.436,16;1293064227886;32.952,37;12452129064221
2016-06-08;33.105,15;7699875160050;38.971,97;7480750900469;37.795,18;10761618109390;37.032,54;599059915643;67.630,00;1297108596757;33.027,07;12480464905843
2016-06-09;33.019,82;7680911000145;38.873,78;7462602804929;37.715,63;10738474386262;36.943,79;597951492277;67.509,85;1294835012579;32.943,48;12450766511530
2016-06-10;33.046,15;7687266289521;38.904,28;7471034146671;37.741,89;10745753082498;36.959,98;598668812937;67.523,16;1295258550705;32.973,81;12464156315049
2016-06-11;33.046,15;7687266289521;38.904,28;7471034146671;37.741,89;10745753082498;36.959,98;598668812937;67.523,16;1295258550705;32.973,81;12464156315049
2016-06-12;33.046,15;7687266289521;38.904,28;7471034146671;37.741,89;10745753082498;36.959,98;598668812937;67.523,16;1295258550705;32.973,81;12464156315049
2016-06-13;32.999,34;7678267422920;38.840,67;7462391916570;37.678,68;10729993769953;36.885,11;598896584351;67.336,55;1292351125489;32.907,09;12443411664652
2016-06-14;32.902,68;7659688944610;38.725,02;7444433637868;37.552,32;10704230889694;36.764,42;599205874182;67.101,03;1287625708255;32.806,33;12413045606045
2016-06-15;32.879,27;7659391664942;38.688,84;7449957957446;37.511,01;10724219479556;36.736,99;608747208887;67.040,00;1288324316662;32.786,19;12410592844077
2016-06-16;32.889,84;7660589603201;38.706,84;7454012247846;37.520,42;10726643070217;36.742,33;609132183338;67.063,69;1288944689076;32.788,87;12409258464229
2016-06-17;32.934,89;7668623618809;38.758,36;7459121105884;37.565,63;10733816924827;36.798,00;609851797183;67.133,47;1292989734875;32.849,69;12430256175130
2016-06-18;32.934,89;7668623618809;38.758,36;7459121105884;37.565,63;10733816924827;36.798,00;609851797183;67.133,47;1292989734875;32.849,69;12430256175130
2016-06-19;32.934,89;7668623618809;38.758,36;7459121105884;37.565,63;10733816924827;36.798,00;609851797183;67.133,47;1292989734875;32.849,69;12430256175130
